ticker,date,sentiment_score,uncertainty_score,sentiment_score_qa,uncertainty_score_qa
FARM,2019-09-10,0.114371,0.005,-0.051202,0.004727
FARM,2020-05-07,0.042092,0.006203,0.083821,0.006565
FARM,2019-05-07,-0.191187,0.007136,0.284121,0.00237
FARM,2018-09-11,0.457754,0.008935,0.113454,0.005768
AEYE,2021-08-11,0.374404,0.006041,0.269584,0.007366
AEYE,2021-05-13,0.514938,0.005181,0.42423,0.006989
AEYE,2021-03-11,0.413798,0.005372,0.266739,0.007547
CMCO,2020-02-04,0.231369,0.008323,0.112133,0.008733
CMCO,2020-07-30,0.02737,0.011472,0.181414,0.009183
CMCO,2019-05-29,0.37807,0.00837,0.315237,0.006423
CMCO,2020-10-29,0.153882,0.010333,0.196405,0.010413
CMCO,2019-11-07,0.284539,0.007047,0.057013,0.005122
CMCO,2019-01-31,0.31048,0.009795,0.182232,0.008299
CMCO,2020-05-27,0.280392,0.006925,0.137403,0.012001
CMCO,2021-07-30,0.572222,0.006767,0.26838,0.005473
CMCO,2019-07-30,0.321567,0.00854,0.176883,0.007077
CMCO,2021-10-28,0.547065,0.009492,0.241026,0.009726
CMCO,2021-01-28,0.16634,0.009147,0.229563,0.009509
CMCO,2021-05-26,0.100496,0.009694,0.204622,0.009278
CNP,2017-11-03,0.288432,0.009524,0.151864,0.008556
CNP,2019-11-07,0.34914,0.015245,0.158005,0.010659
CNP,2019-05-09,0.070755,0.014857,0.11248,0.012221
CNP,2019-08-07,0.455315,0.013872,0.114319,0.011387
CNP,2018-08-03,0.256765,0.009642,0.171548,0.009353
CNP,2020-11-05,0.456065,0.00681,0.18616,0.005851
CNP,2020-05-07,0.228971,0.019458,0.142988,0.009118
CNP,2021-02-25,0.49948,0.008507,0.136268,0.010566
CNP,2020-08-06,0.251648,0.01331,0.202348,0.009217
CNP,2018-11-01,0.244342,0.012899,0.152072,0.013428
CNP,2021-08-05,0.510035,0.007018,0.250537,0.004792
CNP,2021-11-04,0.548089,0.013346,0.153327,0.009983
CNP,2019-02-28,0.204065,0.013966,0.168143,0.014398
CNP,2021-05-06,0.478991,0.008916,0.226405,0.011231
CNP,2020-02-27,0.375632,0.014904,0.173806,0.009543
ECPG,2019-02-27,0.51213,0.005745,0.160701,0.01113
ECPG,2021-05-05,0.476165,0.009206,0.019236,0.010972
ECPG,2019-08-07,0.429681,0.007716,0.183596,0.006844
ECPG,2019-05-08,0.606224,0.007636,0.134772,0.00725
ECPG,2019-11-06,0.590187,0.005287,0.14401,0.011794
ECPG,2020-05-11,0.099544,0.00709,0.044704,0.012093
ECPG,2021-11-03,0.364444,0.005521,0.074742,0.008215
ECPG,2021-02-24,0.351298,0.008535,0.082588,0.010646
ECPG,2020-02-26,0.616534,0.005892,0.077472,0.008567
ECPG,2021-08-04,0.531588,0.006594,0.019482,0.009991
RCL,2018-10-25,0.342,0.008658,0.212327,0.007862
RCL,2023-02-07,0.590445,0.004898,0.300731,0.007721
RCL,2024-04-25,0.696695,0.00386,0.332824,0.008699
RCL,2020-05-20,0.160797,0.006759,0.155797,0.009399
RCL,2020-02-04,0.407402,0.00559,0.120273,0.010243
RCL,2024-02-01,0.721561,0.003746,0.289961,0.007073
RCL,2021-04-29,0.371904,0.006836,0.200574,0.007306
RCL,2019-07-25,0.527273,0.006227,0.264435,0.006607
RCL,2020-10-29,0.242522,0.006969,0.149672,0.009457
RCL,2023-10-26,0.680862,0.004129,0.319139,0.007378
RCL,2022-02-04,0.617285,0.007566,0.21276,0.008083
RCL,2024-07-25,0.661664,0.0057,0.292292,0.007738
RCL,2019-10-30,0.386457,0.007332,0.212993,0.009381
RCL,2023-05-04,0.633121,0.003859,0.306239,0.006502
RCL,2022-11-03,0.578315,0.004449,0.231526,0.008198
RCL,2019-01-30,0.631286,0.007444,0.279974,0.009544
RCL,2020-08-10,0.049273,0.004429,0.178914,0.010024
RCL,2022-07-28,0.552139,0.003936,0.301869,0.005007
RCL,2019-05-01,0.428565,0.00845,0.226013,0.009112
RCL,2021-10-29,0.39781,0.007483,0.256267,0.007308
RCL,2023-07-27,0.708905,0.00444,0.346327,0.008966
RCL,2021-08-04,0.339073,0.006352,0.191956,0.006012
RCL,2021-02-22,0.274603,0.006699,0.215503,0.008291
RCL,2022-05-05,0.578536,0.003023,0.283845,0.007193
AUDC,2021-10-26,0.350945,0.006708,0.218223,0.010642
AUDC,2021-01-26,0.374687,0.006383,0.181763,0.01019
AUDC,2020-01-28,0.354977,0.004555,0.262208,0.008018
AUDC,2020-04-27,0.362846,0.005492,0.15294,0.010536
AUDC,2018-10-23,0.283102,0.01118,0.351039,0.008046
AUDC,2019-04-30,0.452555,0.004849,0.162377,0.006501
AUDC,2020-10-27,0.222331,0.005661,0.100102,0.010662
AUDC,2021-07-27,0.301186,0.005319,0.15877,0.006272
AUDC,2019-01-28,0.412332,0.004364,0.243076,0.009524
AUDC,2019-10-29,0.459889,0.004135,0.17827,0.007921
AUDC,2020-07-28,0.238945,0.005518,0.14549,0.011189
AUDC,2021-04-27,0.38275,0.004114,0.183112,0.008957
CAT,2020-07-31,-0.321421,0.006638,0.087235,0.009278
CAT,2018-10-23,0.466739,0.006075,0.195535,0.005057
CAT,2020-10-27,-0.083305,0.004332,0.132068,0.010549
CAT,2020-04-28,-0.08934,0.006606,0.016398,0.013149
TFC,2019-04-18,0.155094,0.004491,0.190489,0.007343
TFC,2019-01-17,0.349919,0.004767,0.193291,0.010856
TFC,2021-07-15,0.326847,0.007242,0.230723,0.010395
TFC,2019-10-17,0.126642,0.005815,0.149318,0.009954
TFC,2020-04-20,0.233481,0.010929,0.086884,0.01115
TFC,2019-07-18,0.387919,0.004278,0.077422,0.011171
TFC,2018-10-18,0.310008,0.002391,0.163832,0.011168
TFC,2021-04-15,0.145478,0.007534,0.196156,0.011592
TFC,2020-01-30,0.204305,0.005442,0.117106,0.00774
TFC,2021-10-15,0.337783,0.008252,0.155055,0.010493
AAPL,2021-01-27,0.5114,0.006726,0.20684,0.009154
AAPL,2021-04-28,0.511871,0.007467,0.228902,0.006829
AAPL,2018-02-02,0.590235,0.004856,0.064425,0.010072
AAPL,2020-07-30,0.513026,0.005272,0.184341,0.009782
AAPL,2020-10-29,0.520298,0.004044,0.219793,0.005741
AAPL,2020-01-28,0.507446,0.002482,0.157906,0.006371
AAPL,2019-10-30,0.514935,0.005313,0.191202,0.011117
AAPL,2018-07-31,0.587714,0.004388,0.217281,0.010807
AAPL,2020-04-30,0.290381,0.005339,0.081616,0.008677
AAPL,2018-05-01,0.521606,0.007092,0.133582,0.011081
AAPL,2019-01-29,0.223343,0.005447,0.113249,0.00937
AAPL,2019-04-30,0.375327,0.003009,0.187204,0.008367
AAPL,2021-07-27,0.505717,0.005803,0.218333,0.009005
AAPL,2023-02-02,0.190771,0.004814,0.198299,0.005079
