,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper
uncertainty_score,-1.327243,1.979776,-0.670401,0.502621,-5.208092,2.553605
sentiment_score,-0.146842,0.036108,-4.066695,4.8e-05,-0.217624,-0.076061
log_vol_pre,0.235952,0.014339,16.455053,0.0,0.207844,0.264061
surprise_factor,-0.323539,0.118107,-2.739375,0.006169,-0.555057,-0.09202
