,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper
uncertainty_score,0.941392,3.063112,0.307332,0.758607,-5.06399,6.946774
sentiment_score,-0.108256,0.049961,-2.166801,0.030308,-0.206208,-0.010305
log_vol_pre,0.140205,0.018784,7.463897,0.0,0.103377,0.177033
surprise_factor,-0.681849,0.340188,-2.004332,0.045101,-1.348804,-0.014894
