,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper
uncertainty_score,0.031318,2.670519,0.011727,0.990644,-5.203557,5.266193
sentiment_score,-0.204165,0.046361,-4.403772,1.1e-05,-0.295045,-0.113285
log_vol_pre_5d,0.130115,0.012817,10.151978,0.0,0.104991,0.155239
surprise_factor,-0.220139,0.156024,-1.410928,0.158303,-0.525984,0.085707
