,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper
uncertainty_score,-1.961197,2.085959,-0.940189,0.347151,-6.050262,2.127868
sentiment_score,-0.155278,0.037297,-4.163292,3.2e-05,-0.22839,-0.082165
log_vol_pre,0.2434,0.015197,16.015923,0.0,0.213609,0.273191
surprise_factor,-0.346823,0.125223,-2.769637,0.005626,-0.592296,-0.10135
