,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper
uncertainty_score,-1.36998,1.96029,-0.698866,0.484655,-5.212632,2.472672
sentiment_score,-0.105248,0.037862,-2.779798,0.005451,-0.179467,-0.03103
uncertainty_score_qa,2.987252,2.394032,1.247791,0.212142,-1.70564,7.680145
sentiment_score_qa,-0.3497,0.093414,-3.743533,0.000183,-0.532815,-0.166585
log_vol_pre,0.233218,0.014184,16.442123,0.0,0.205414,0.261023
surprise_factor,-0.287844,0.11811,-2.437076,0.014827,-0.519369,-0.056318
