,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper
sentiment_score_qa,-0.417285,0.089382,-4.668582,3e-06,-0.592495,-0.242075
uncertainty_score_qa,2.991319,2.404264,1.244172,0.213471,-1.721631,7.704269
log_vol_pre,0.234984,0.014186,16.564316,0.0,0.207175,0.262792
surprise_factor,-0.315315,0.118076,-2.670452,0.00759,-0.546772,-0.083858
