,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper
log_vol_pre,0.237397,0.014798,16.042733,0.0,0.208389,0.266404
uncertainty_lag1,-0.272394,1.990543,-0.136844,0.891158,-4.174391,3.629603
